Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags
Physcial Attack; Sabotage,2013,8/21/13,2:00 PM,8/21/13,2:01 PM,"Cabot, Arkansas",SERC,N/A,N/A,"vandalism, physical"
Severe Weather - Lightning Strike,2013,8/19/13,7:06 PM,8/20/13,6:02 AM,Central California,WECC,685,"124,000","severe weather, thunderstorm"
Severe Weather - Thunderstorms,2013,8/16/13,4:58 PM,8/17/13,11:58 PM,Houston Service Area Texas,TRE,Unknown,"219,681","severe weather, thunderstorm"
Suspicious Activity,2013,8/12/13,11:55 AM,8/12/13,11:59 AM,"Portland, Oregon",WECC,Unknown,Unknown,vandalism
Severe Weather - Thunderstorms,2013,8/7/13,12:15 AM,8/7/13,9:27 PM,Eastern Central Wisconsin,MRO,220,"51,160","severe weather, thunderstorm"
Physcial Attack; Vandalism,2013,8/7/13,2:30 PM,8/8/13,1:00 PM,"Arlington, Oregon",WECC,Unknown,Unknown,"vandalism, physical"
Fuel Supply Emergency (Natural Gas & Fuel Oil),2013,8/7/13,7:30 AM,8/7/13,9:14 AM,"Green Bay, Wisconsin",MRO,Unknown,Unknown,"fuel supply emergency, natural gas"
Physcial Attack; Vandalism,2013,8/6/13,4:00 PM,8/6/13,5:32 PM,"Holloman Air Force Base, New Mexico",WECC,Unknown,Unknown,"vandalism, physical"
Electrical System Separation (Islanding); Severe Weather,2013,8/5/13,6:35 PM,8/5/13,6:45 PM,"Vancouver, British Columbia",WECC,Unknown,Unknown,"islanding, severe weather"
Physical Attack; Vandalism,2013,8/4/13,3:00 AM,8/4/13,4:00 AM,Utah,WECC,N/A,N/A,"vandalism, physical"
Electrical System Separation (Islanding,2013,8/1/13,6:54 PM,8/1/13,7:37 PM,Western British Columbia,WECC,420,Unknown,islanding
Physical Attack; Copper Theft,2013,8/1/13,11:00 AM,8/1/13,4:00 PM,"Newburgh, New York",NPCC,N/A,N/A,"vandalism, physical"
Loss of 300+ MW Load,2013,8/1/13,11:19 PM,8/2/13,12:49 AM,Daytona Beach Florida,FRCC,297,"104,498",load shedding
Physical Attack; Vandalism,2013,7/25/13,1:10 PM,7/25/13,1:15 PM,"Polk Substation, Tacoma Washington",WECC,N/A,N/A,"vandalism, physical"
Severe Weather - Thunderstorms,2013,7/23/13,11:38 PM,7/25/13,4:30 AM,"Tulsa, Oklahoma",SPP,500,"92,748","severe weather, thunderstorm"
Physical Attack; Vandalism,2013,7/22/13,7:00 AM,7/22/13,3:00 PM,California,WECC,Unknown,Unknown,"vandalism, physical"
Severe Weather - Thunderstorms,2013,7/19/13,10:30 PM,7/21/13,8:00 PM,New York,NPCC,Unknown,"74,300","severe weather, thunderstorm"
Severe Weather - Thunderstorms,2013,7/19/13,6:00 PM,7/20/13,9:00 AM,Michigan,RFC,Unknown,"156,627","severe weather, thunderstorm"
Public Appeal - Heatwave,2013,7/18/13,11:30 AM,7/19/13,5:30 PM,Upstate New York,NPCC,Unknown,Unknown,"public appeal, severe weather, heat"
Equipment Failure,2013,7/18/13,11:45 PM,7/19/13,10:05 AM,Southern Orange County California,WECC,200,"123,000",equipment failure
Physical Attack; Vandalism,2013,7/18/13,3:15 AM,7/18/13,3:59 AM,Utah,WECC,N/A,N/A,"vandalism, physical"
Fuel Supply Emergency (Natural Gas),2013,7/17/13,3:30 PM,7/19/13,6:45 AM,"Holtsville, New York",NPCC,417,Unknown,"fuel supply emergency, natural gas"
Physical Attack; Vandalism,2013,7/12/13,10:00 AM,7/12/13,10:01 AM,Washington,WECC,Unknown,Unknown,"vandalism, physical"
Physical Attack; Vandalism,2013,7/11/13,11:20 PM,7/14/13,3:22 PM,Arizona,WECC,455,Unknown,"vandalism, physical"
Severe Weather - Thunderstorms,2013,7/10/13,5:30 PM,7/11/13,8:00 PM,AEP Ohio Power Footprint,RFC,N/A,"122,314","severe weather, thunderstorm"
Physical Attack; Copper Theft,2013,7/10/13,2:30 PM,7/10/13,2:45 PM,"Boston, Massachusetts",NPCC,0,0,"vandalism, physical"
Physical Attack; Vandalism,2013,7/5/13,12:05 AM,7/5/13,1:51 AM,California,WECC,Unknown,"2,500","vandalism, physical"
Voltage Reduction; Line and Generator Trip,2013,7/3/13,12:04 PM,7/3/13,12:48 PM,System-wide Puerto Rico,PR,480,"393,000","voltage reduction, generator trip"
Suspected Physical Attack,2013,7/3/13,9:34 AM,7/3/13,10:52 AM,Sacramento California,WECC,0,0,"vandalism, physical"
Load Shed 100+MW,2013,7/2/13,2:20 PM,7/5/13,3:30 PM,"Alberta, Canada",WECC,200,Unknown,load shedding
Equipment Failure,2013,6/28/13,6:02 PM,6/28/13,8:46 PM,"Los Angeles and Orange Counties, California",WECC,240,"65,255",equipment failure
Physical Attack; Vandalism,2013,6/28/13,5:14 PM,6/28/13,5:15 PM,New Castle Delaware,RFC,Unknown,Unknown,"vandalism, physical"
Physical Attack; Vandalism,2013,6/28/13,1:00 PM,6/28/13,1:01 PM,Vermont,NPCC,Unknown,Unknown,"vandalism, physical"
Physical Attack; Vandalism,2013,6/27/13,1:10 AM,6/27/13,2:45 AM,"Richie Substation,Seat Pleasant, Maryland",RFC,Unknown,Unknown,"vandalism, physical"
Severe Weather - Thunderstorms,2013,6/27/13,5:00 PM,6/28/13,12:00 AM,South Eastern Michigan,RFC,Unknown,"138,000","severe weather, thunderstorm"
Severe Weather - Thunderstorms,2013,6/24/13,7:30 PM,6/25/13,5:46 PM,Illinois,RFC,Unknown,"283,451","severe weather, thunderstorm"
Severe Weather - Thunderstorms,2013,6/24/13,7:30 PM,6/26/13,5:00 PM,Indiana,RFC,Unknown,"86,615","severe weather, thunderstorm"
Severe Weather - Fog,2013,6/23/13,9:20 PM,6/24/13,1:35 AM,Central Coast California,WECC,Unknown,"148,000","severe weather, fog"
Physical Attack; Vandalism,2013,6/22/13,4:59 AM,6/22/13,9:28 PM,Medford Oregon,WECC,N/A,N/A,"vandalism, physical"
Suspected Physical Attack,2013,6/22/13,4:12 PM,6/22/13,5:45 PM,Eastern Montana,WECC,Unknown,Unknown,"vandalism, physical"
Physical Attack; Vandalism,2013,6/21/13,11:14 PM,6/21/13,11:15 PM,New Castle Delaware,RFC,Unknown,Unknown,"vandalism, physical"
Suspected Cyber Attack,2013,6/21/13,8:31 AM,10/30/13,2:09 PM,"Michigan, Iowa",MRO,Unknown,Unknown,"vandalism, cyber"
Physical Attack; Vandalism & Sabotage,2013,6/21/13,7:40 AM,6/21/13,12:14 PM,Pahrump Nevada,WECC,Unknown,"1,100","vandalism, physical"
Severe Weather - Hailstorm,2013,6/21/13,3:00 AM,6/26/13,12:00 PM,Minnesota,MRO,Unknown,"193,000","severe weather, hail"
Severe Weather - Hailstorm,2013,6/21/13,5:39 PM,6/24/13,6:00 AM,Minneapolis/St. Paul area Minnesota,MRO,Unknown,"400,000","severe weather, hail"
Physcial Attack; Vandalism,2013,6/20/13,6:00 PM,6/21/13,10:00 AM,"Richie Station (No. 123), Maryland",RFC,Unknown,Unknown,"vandalism, physical"
Electrical System Separation (Islanding),2013,6/19/13,7:57 PM,6/19/13,8:09 PM,"Alberta, Canada",WECC,Unknown,Unknown,islanding
Electrical System Separation (Islanding),2013,6/18/13,3:51 PM,6/18/13,4:23 PM,Wyoming,WECC,6,Unknown,islanding
Load Shed of 100+ MW Under Emergency Operational Policy,2013,6/17/13,4:17 PM,6/17/13,6:49 PM,Hillsborough County Florida,FRCC,180,37,load shedding
Severe Weather - Thunderstorms,2013,6/13/13,8:47 PM,6/14/13,10:47 PM,Southern Company Territory,SERC,550,"165,798","severe weather, thunderstorm"
Severe Weather - Thunderstorms,2013,6/13/13,3:20 PM,6/14/13,9:10 PM,Ohio; Virginia; West Virginia,"RFC, SERC",Unknown,"90,247","severe weather, thunderstorm"
Severe Weather - Thunderstorms,2013,6/13/13,5:45 PM,6/14/13,6:30 PM,Central and Eastern North Carolina,SERC,Unknown,"53,000","severe weather, thunderstorm"
Severe Weather - Thunderstorms,2013,6/13/13,1:17 PM,6/14/13,5:35 PM,Western Piedmont North Carolina,SERC,"1,000","175,000","severe weather, thunderstorm"
Severe Weather - Thunderstorms,2013,6/13/13,4:08 PM,6/14/13,5:16 PM,"Richmond Metro area, Virginia",SERC,900,"283,000","severe weather, thunderstorm"
Loss of 300+ MW Load; Severe Weather - Thunderstorms,2013,6/13/13,3:30 PM,6/13/13,4:00 PM,District of Columbia; Maryland,RFC,700,"40,000","severe weather, thunderstorm"
Electrical System Separation (Islanding),2013,6/3/13,12:50 PM,6/3/13,1:36 PM,"Alberta, Canada",WECC,Unknown,Unknown,islanding
Severe Weather - Thunderstorms,2013,5/31/13,7:30 PM,6/1/13,8:00 PM,St. Louis Metro Area Missouri,SERC,Unknown,"100,000","severe weather, thunderstorm"
Transmission System Interruption,2013,5/31/13,7:07 PM,6/1/13,2:15 PM,"Southeast Kansas, Northeast Oklahoma",MRO,102,"6,300",transmission interruption
Severe Weather - Tornados,2013,5/31/13,6:00 PM,6/4/13,10:30 AM,"El Reno, S. Oklahoma City, Oklahoma",SPP,Unknown,"127,000","severe weather, tornado"
Severe Weather - Lightning,2013,5/31/13,1:00 AM,5/31/13,1:30 AM,"Maumelle, Arkansas",SPP,N/A,N/A,"severe weather, thunderstorm"
Vandalism,2013,5/30/13,10:15 AM,5/30/13,10:16 AM,"Saranac, New York",NPCC,N/A,N/A,vandalism
Severe Weather - Thunderstorms,2013,5/29/13,8:58 PM,5/31/13,2:53 PM,Central and Eastern New York,NPCC,Unknown,"61,795","severe weather, thunderstorm"
Vandalism/Theft,2013,5/29/13,9:52 AM,5/29/13,9:53 AM,"Wilmington, Delaware",RFC,N/A,N/A,"vandalism, physical"
Physical Attack,2013,5/29/13,12:00 AM,5/29/13,12:02 AM,"Henrico County, Virginia",SERC,Unknown,Unknown,"vandalism, physical"
Vandalism/Theft,2013,5/28/13,1:00 PM,5/28/13,6:00 PM,Maine,NPCC,None,None,"vandalism, physical"
System Wide Voltage Reduction,2013,5/22/13,10:51 AM,5/22/13,10:57 AM,System wide Puerto Rico,PR,280,"197,287",voltage reduction
Generator Trip; Load Shed 100+ MW,2013,5/20/13,5:22 PM,5/20/13,9:09 PM,Gonzales Area Louisiana,SERC,103,"21,800","load shedding, generator trip"
Severe Weather - Tornados,2013,5/20/13,3:00 PM,5/22/13,5:00 PM,"Moore, Oklahoma",SPP,Unknown,"41,306","severe weather, tornado"
Vandalism,2013,5/17/13,8:35 AM,5/17/13,8:36 AM,"Newcastle, Delaware",RFC,Unknown,Unknown,vandalism
Vandalism,2013,5/15/13,2:11 PM,5/15/13,2:12 PM,"Wilmington, Delaware",RFC,Unknown,Unknown,vandalism
Vandalism/Theft,2013,5/14/13,12:01 AM,5/14/13,1:59 PM,"Portland, Oregon",WECC,N/A,N/A,"vandalism, physical"
Vandalism,2013,5/14/13,10:25 AM,5/14/13,11:42 AM,New Hampshire,NPCC,N/A,N/A,vandalism
Fuel Supply Emergency - Hydro,2013,5/13/13,12:52 PM,Ongoing,Ongoing,Central California,WECC,176,Unknown,"fuel supply emergency, hydro"
Electrical System Separation (Islanding),2013,5/9/13,1:21 PM,5/9/13,4:21 PM,"Alberta, Canada; Washington State",WECC,Unknown,Unknown,islanding
Electrical System Separation (Islanding),2013,5/2/13,6:52 AM,5/2/13,10:07 AM,Unknown,WECC,Unknown,Unknown,islanding
Electrical System Separation (Islanding),2013,5/1/13,9:22 AM,5/1/13,9:24 AM,Northeast Colorado,WECC,123,"35,230",islanding
Vandalism,2013,4/25/13,4:00 PM,4/26/13,10:55 AM,"Sunol, California",WECC,0,0,vandalism
Vandalism,2013,4/23/13,11:00 AM,4/23/13,11:01 AM,"Newark, Delaware",RFC,Unknown,Unknown,vandalism
Electrical System Separation (Islanding),2013,4/23/13,12:49 AM,4/23/13,4:04 AM,"South of Humboldt, California",WECC,80,1,islanding
Suspected Physical Attack,2013,4/21/13,2:11 AM,4/21/13,12:30 PM,East Tennessee,SERC,N/A,N/A,"vandalism, physical"
Severe Weather - Storms and Wind,2013,4/18/13,3:00 PM,4/21/13,3:30 AM,"Southeast Michigan, Michigan",RFC,Unknown,"99,188","severe weather, wind"
Suspected Physical Attack,2013,4/17/13,3:36 PM,4/17/13,4:53 PM,"Colbert Steam Plant in Cherokee, Alabama",SERC,Unknown,Unknown,"vandalism, physical"
"Loss of Part of a High Voltage Substation, Physical Attack",2013,4/16/13,1:47 AM,4/18/13,3:25 PM,California,WECC,N/A,0,vandalism
Vandalism,2013,4/9/13,11:30 AM,4/9/13,11:31 AM,"Delaware City, Delaware",RFC,N/A,N/A,vandalism
Sabotage; Vandalism,2013,4/3/13,11:05 AM,4/3/13,2:00 PM,"Colorado Springs, Colorado",WECC,0,0,vandalism
Vandalism - Copper Wire Theft,2013,4/1/13,8:40 AM,4/1/13,8:41 AM,Connecticut,NPCC,Unknown,Unknown,"vandalism, physical"
Suspected Physical Attack,2013,3/29/13,10:16 AM,3/29/13,10:17 AM,Maryland,RFC,Unknown,Unknown,"vandalism, physical"
Vandalism,2013,3/28/13,1:01 PM,3/28/13,1:02 PM,"Wilmington, Delaware",RFC,Unknown,Unknown,vandalism
Physical Attack; Vandalism,2013,3/27/13,10:25 AM,3/27/13,12:19 PM,Western Massachusetts,NPCC,Unknown,Unknown,"vandalism, physical"
Vandalism,2013,3/23/13,7:00 AM,3/23/13,9:00 AM,Connecticut,NPCC,Unknown,Unknown,vandalism
Suspected Physical Attack,2013,3/18/13,5:50 PM,3/18/13,6:07 PM,Northeast Florida,FRCC,0,0,"vandalism, physical"
Severe Weather - Thunderstorms,2013,3/18/13,7:30 PM,3/20/13,2:30 PM,North/Central Alabama; Georgia,SERC,800,"240,000","severe weather, thunderstorm"
Generator Trip; Load Shed,2013,3/18/13,5:21 AM,3/18/13,5:41 AM,Systemwide Puerto Rico,PR,350,"262,937","load shedding, generator trip"
Severe Weather - Winter Storm,2013,3/6/13,8:22 AM,3/7/13,10:27 AM,Northwest Virginia,SERC,400,"233,000","severe weather, winter storm"
Equipment Failure; Transmission System Interruption,2013,3/4/13,9:49 AM,3/4/13,10:00 PM,Metropolitan area Puerto Rico,PR,Unknown,Unknown,"equipment failure, transmission interruption"
Vandalism,2013,3/3/13,4:27 PM,3/3/13,6:20 PM,"Tacoma Park, Maryland",RFC,Unknown,Unknown,vandalism
Transmission System Interruption,2013,3/3/13,6:39 AM,3/3/13,10:29 AM,"Merced County, California",WECC,300,"58,850",transmission interruption
Severe Weather - Winter Storm Nemo,2013,2/26/13,1:00 PM,3/1/13,10:00 AM,Northern Missouri,SERC,Unknown,"56,444","severe weather, winter storm"
Vandalism,2013,2/21/13,11:00 AM,2/21/13,11:30 AM,"Las Cruces, New Mexico",WECC,Unknown,Unknown,vandalism
Electrical System Separation (Islanding),2013,2/19/13,4:01 PM,2/20/13,12:55 PM,"Stockton, California",WECC,"13,850","6,810",islanding
Vandalism,2013,2/16/13,7:54 AM,2/16/13,7:54 AM,Prince George's County Maryland,RFC,1,1,vandalism
Vandalism,2013,2/15/13,12:00 AM,2/15/13,12:01 AM,"Tuxedo, Maryland",RFC,N/A,N/A,vandalism
Fuel Supply Emergency - Petroleum,2013,2/13/13,5:39 PM,2/15/13,5:50 PM,Eastern Massachusetts,NPCC,1,1,"fuel supply emergency, petroleum"
Vandalism,2013,2/13/13,9:30 AM,2/13/13,9:30 AM,"Fort Washington, Maryland",RFC,1,1,vandalism
Generator Trip; Voltage Reduction,2013,2/10/13,7:46 PM,2/10/13,8:15 PM,Puerto Rico,PR,350,Unknown,"voltage reduction, generator trip"
Vandalism; Equipment Fault,2013,2/9/13,8:30 AM,2/9/13,3:00 PM,"El Paso, New Mexico",WECC,Unknown,Unknown,"vandalism, equipment failure"
Severe Weather - Winter Storm Nemo,2013,2/8/13,8:00 PM,2/11/13,8:30 PM,Central and eastern Massachusetts; Rhode Island,NPCC,N/A,"50,000","severe weather, winter storm"
Equipment Trip & Failure,2013,2/8/13,11:38 AM,2/8/13,2:17 PM,District of Columbia; Prince George's County Maryland,RFC,140,"52,000",equipment failure
Severe Weather - Winter Storm Nemo,2013,2/8/13,8:55 PM,2/12/13,4:00 AM,Boston area and Southeast Massachusetts,NPCC,Unknown,"50,000","severe weather, winter storm"
Vandalism,2013,2/7/13,8:32 AM,2/7/13,9:47 AM,"Cincinnati, Ohio",RFC,Unknown,0,vandalism
Vandalism,2013,2/2/13,9:15 PM,2/2/13,10:15 PM,"El Paso, New Mexico",WECC,N/A,N/A,vandalism
Severe Weather - Wind Storm,2013,1/31/13,6:30 AM,1/31/13,10:00 AM,Connecticut,NPCC,75,"75,000","severe weather, wind"
Severe Weather - Wind Storm,2013,1/31/13,3:05 AM,1/31/13,4:48 AM,Central and Eastern Virginia,SERC,188,"119,000","severe weather, wind"
Physical Attack,2013,1/28/13,4:46 PM,1/28/13,6:00 PM,"Tacoma Narrows Crossing, Washington",WECC,Unknown,Unknown,"vandalism, physical"
Severe Weather - Wind Storm,2013,1/20/13,3:30 AM,1/23/13,6:15 AM,Southeastern Michigan,RFC,Unknown,"146,500","severe weather, wind"
Distribution Interruption,2013,1/17/13,8:35 PM,1/17/13,9:20 PM,"Elizabeth City, North Carolina",SERC,40,"12,000",distribution interruption
Severe Weather - Winter Storm,2013,1/17/13,6:07 PM,1/20/13,7:30 PM,"Southwest Virginia, Southern West Virginia",RFC,Unknown,"127,000","severe weather, winter storm"
Severe Weather - Winter Storm,2013,1/17/13,7:02 PM,1/19/13,6:00 PM,Northeast Tennessee,SERC,Unknown,"80,000","severe weather, winter storm"
Suspected Physical Attack,2013,1/16/13,4:45 PM,1/16/13,7:26 PM,"San Juan County, New Mexico",WECC,0,0,"vandalism, physical"
Physcial Attack; Vandalism,2013,1/16/13,2:25 PM,1/16/13,2:25 PM,"Denton, Maryland",RFC,Unknown,Unknown,"vandalism, physical"
Physical Attack,2013,1/16/13,7:41 AM,1/17/13,10:58 AM,"Webster County, Iowa",MRO,N/A,N/A,"vandalism, physical"
Physcial Attack; Vandalism,2013,1/7/13,10:43 AM,1/7/13,10:43 AM,"Denton, Maryland",RFC,Unknown,Unknown,"vandalism, physical"
Transmission Interruption,2012,12/31/12,2:21 PM,12/31/12,4:30 PM,North Carolina,SERC,40,"12,000",transmission interruption
Severe Weather - Thunderstorm,2012,12/26/12,2:50 PM,12/26/12,7:40 PM,"Stantonsburg, North Carolina",SERC,3,"1,200","severe weather, thunderstorm"
"Severe Weather - Cold Front, High Winds",2012,12/25/12,9:28 AM,12/26/12,4:28 PM,"Houston, Texas",TRE,294,"262,000","severe weather, cold, wind"
Severe Weather - Winter Storm,2012,12/25/12,12:45 AM,12/28/12,4:15 PM,Arkansas; Louisiana; Mississippi; Texas,SPP,Unknown,"242,509","severe weather, winter storm"
Suspected Physical Attack,2012,12/17/12,6:55 AM,12/17/12,7:00 AM,"Tacoma, Washington",WECC,0,0,"vandalism, physical"
Load Shed,2012,12/6/12,9:18 PM,12/6/12,9:31 PM,"Greater San Jose, California",WECC,390,Unknown,load shedding
Suspected Physical Attack,2012,12/3/12,12:02 PM,12/3/12,12:30 PM,"Tacoma, Washington",WECC,0,0,"vandalism, physical"
Severe Weather - Winter Storm,2012,12/2/12,5:20 AM,12/4/12,9:00 AM,Northern California,WECC,250,"125,000","severe weather, winter storm"
Physical Attack; Vandalism,2012,11/27/12,1:07 PM,11/27/12,1:40 PM,New Hampshire,NPCC,0,0,"vandalism, physical"
Physical Attack; Vandalism,2012,11/26/12,3:07 PM,11/26/12,3:08 PM,"Georgetown, Delaware",RFC,N/A,N/A,"vandalism, physical"
Physical Attack; Vandalism,2012,11/26/12,12:37 PM,11/26/12,12:38 PM,"Frankfort, Delaware",RFC,0,0,"vandalism, physical"
Physical Attack; Vandalism,2012,11/21/12,2:50 PM,11/21/12,2:51 PM,"Bethany Beach, Delaware",RFC,N/A,N/A,"vandalism, physical"
Fuel Supply Deficiency,2012,11/17/12,10:00 AM,11/18/12,10:00 AM,"Comanche Peak, Texas",TRE,"1,231",0,fuel supply emergency
Suspected Cyber Attack,2012,11/15/12,9:09 PM,11/15/12,9:26 PM,Iowa; Michigan,MRO,Unknown,Unknown,"vandalism, cyber"
Physical Attack; Vandalism,2012,11/15/12,5:38 AM,11/15/12,5:39 AM,Southeast Massachusetts,NPCC,0,0,"vandalism, physical"
Physical Attack; Vandalism,2012,11/8/12,9:34 AM,11/8/12,9:35 AM,"Bishopville, Maryland",RFC,0,0,"vandalism, physical"
Physical Attack; Vandalism,2012,11/7/12,2:21 PM,11/7/12,2:48 PM,New Hampshire,NPCC,0,0,"vandalism, physical"
Physical Attack; Vandalism,2012,11/2/12,9:30 AM,11/2/12,12:10 PM,"Concord, Vermont",NPCC,0,0,"vandalism, physical"
Severe Weather - Nor'easter,2012,10/30/12,2:00 AM,11/1/12,10:00 PM,Greater Detroit Michigan,RFC,Unknown,"133,777","severe weather, storm"
Physical Attack; Vandalism,2012,10/30/12,3:00 PM,10/30/12,3:01 PM,"Pueblo, Colorado",WECC,Unknown,Unknown,"vandalism, physical"
Vandalism,2012,10/30/12,1:20 PM,10/30/12,1:25 PM,"Fitzwilliam, New Hampshire",NPCC,0,0,vandalism
Physical Attack; Vandalism,2012,10/30/12,12:00 AM,10/30/12,12:02 AM,"Hyattsville, Maryland",RFC,0,0,"vandalism, physical"
Severe Weather - Hurricane Sandy,2012,10/29/12,12:00 AM,11/9/12,11:59 PM,West Virginia,RFC,0,"208,000","severe weather, hurricane/tropical storm"
Severe Weather - Hurricane Sandy,2012,10/29/12,4:00 PM,11/5/12,11:59 PM,Greater Cleveland Ohio,RFC,0,"346,000","severe weather, hurricane/tropical storm"
Severe Weather - Hurricane Sandy,2012,10/29/12,4:00 PM,11/7/12,11:48 PM,Eastern Pennsylvania,RFC,0,"270,000","severe weather, hurricane/tropical storm"
Severe Weather - Hurricane Sandy,2012,10/29/12,12:00 PM,11/4/12,11:00 PM,New Jersey,RFC,Unknown,"217,000","severe weather, hurricane/tropical storm"
Severe Weather - Hurricane Sandy,2012,10/29/12,8:00 AM,11/4/12,11:00 PM,New Jersey,RFC,Unknown,Unknown,"severe weather, hurricane/tropical storm"
Severe Weather - Hurricane Sandy,2012,10/29/12,6:11 PM,11/4/12,10:50 PM,Central Pennsylvania,RFC,Unknown,"400,000","severe weather, hurricane/tropical storm"
Severe Weather - Hurricane Sandy,2012,10/29/12,3:15 PM,11/4/12,8:00 PM,"Connecticut, Western Massachusetts",NPCC,0,"649,075","severe weather, hurricane/tropical storm"
Severe Weather - Hurricane Sandy,2012,10/29/12,6:12 PM,10/30/12,7:35 PM,Virginia,RFC,520,"156,000","severe weather, hurricane/tropical storm"
Severe Weather - Hurricane Sandy,2012,10/29/12,4:01 PM,11/8/12,7:00 PM,"Greater New York City, New York",NPCC,0,"818,000","severe weather, hurricane/tropical storm"
Severe Weather - Hurricane Sandy,2012,10/29/12,2:40 PM,10/30/12,6:16 PM,"Boston, Southeast Massachusetts",NPCC,Unknown,"50,000","severe weather, hurricane/tropical storm"
Severe Weather - Hurricane Sandy,2012,10/29/12,9:00 AM,11/2/12,6:00 PM,"Delaware, Maryland",RFC,Unknown,"70,000","severe weather, hurricane/tropical storm"
Severe Weather - Hurricane Sandy,2012,10/29/12,4:00 PM,11/8/12,5:08 PM,Maryland; West Virginia,RFC,Unknown,"150,000","severe weather, hurricane/tropical storm"
Severe Weather - Hurricane Sandy,2012,10/29/12,7:15 PM,10/30/12,3:02 PM,Southeast and Seacoast Maine,NPCC,Unknown,"50,000","severe weather, hurricane/tropical storm"
Suspected Physical Attack,2012,10/29/12,3:00 PM,10/29/12,3:01 PM,"Las Vegas, Nevada",WECC,N/A,N/A,"vandalism, physical"
Severe Weather - Hurricane Sandy,2012,10/29/12,1:00 PM,11/12/12,2:00 PM,"Long Island, New York",NPCC,0,"632,816","severe weather, hurricane/tropical storm"
Severe Weather - Hurricane Sandy,2012,10/29/12,4:03 PM,11/6/12,12:00 PM,New Jersey,NPCC,Unknown,"50,000","severe weather, hurricane/tropical storm"
Severe Weather - Hurricane Sandy,2012,10/29/12,6:48 PM,11/4/12,11:36 AM,New York,NPCC,Unknown,"371,000","severe weather, hurricane/tropical storm"
